"Supplier Code","Address  Number","Check/  Itm Date","Alpha  Name","ADDRESS_LINE_1","ADDRESS_LINE_2","CITY","STATE_CODE","POSTAL_CODE","ELECTRONIC_ADDRESS_EAEMAL","PHONE_NUMBER","Invoice  Number","Invoice  Date","Due  Date","Payment Date","Payment Number","Check Amount","Gross Amount","Net Amount","Discount Amount"
19182,19182,20150730,"PACIFIC ARROW EXPRESS","2860 S ALAMEDA ST","","VERNON","CA","90058"," ","2334275","1804",20150710,20150725,20150730,33453,-1187.05,1187.05,-1187.05,.00
20021,20021,20150730,"CHRISTINE PESIK DBA CAP IMAGES"," "," "," "," "," "," "," ","442",20150714,20150714,20150730,33398,-4305.00,945.00,-945.00,.00
20021,20021,20150730,"CHRISTINE PESIK DBA CAP IMAGES"," "," "," "," "," "," "," ","443",20150720,20150720,20150730,33398,-4305.00,1785.00,-1785.00,.00
20021,20021,20150730,"CHRISTINE PESIK DBA CAP IMAGES"," "," "," "," "," "," "," ","444",20150727,20150727,20150730,33398,-4305.00,1575.00,-1575.00,.00
21220,21220,20150730,"TCW, INC.","22 STANLEY ST","","NASHVILLE","TN","37210"," ","2551122","510952",20150629,20150729,20150730,33474,-5722.30,497.25,-497.25,.00
21220,21220,20150730,"TCW, INC.","22 STANLEY ST","","NASHVILLE","TN","37210"," ","2551122","511015",20150629,20150729,20150730,33474,-5722.30,497.25,-497.25,.00
21220,21220,20150730,"TCW, INC.","22 STANLEY ST","","NASHVILLE","TN","37210"," ","2551122","511241",20150629,20150729,20150730,33474,-5722.30,447.80,-447.80,.00
21220,21220,20150730,"TCW, INC.","22 STANLEY ST","","NASHVILLE","TN","37210"," ","2551122","511589",20150630,20150730,20150730,33474,-5722.30,447.80,-447.80,.00
21220,21220,20150730,"TCW, INC.","22 STANLEY ST","","NASHVILLE","TN","37210"," ","2551122","511931",20150630,20150730,20150730,33474,-5722.30,497.25,-497.25,.00
21220,21220,20150730,"TCW, INC.","22 STANLEY ST","","NASHVILLE","TN","37210"," ","2551122","512094",20150701,20150731,20150730,33474,-5722.30,497.25,-497.25,.00
21220,21220,20150730,"TCW, INC.","22 STANLEY ST","","NASHVILLE","TN","37210"," ","2551122","512095",20150701,20150731,20150730,33474,-5722.30,497.25,-497.25,.00
21220,21220,20150730,"TCW, INC.","22 STANLEY ST","","NASHVILLE","TN","37210"," ","2551122","512096",20150701,20150731,20150730,33474,-5722.30,499.80,-499.80,.00
21220,21220,20150730,"TCW, INC.","22 STANLEY ST","","NASHVILLE","TN","37210"," ","2551122","512271",20150701,20150731,20150730,33474,-5722.30,447.80,-447.80,.00
21220,21220,20150730,"TCW, INC.","22 STANLEY ST","","NASHVILLE","TN","37210"," ","2551122","512272",20150701,20150731,20150730,33474,-5722.30,447.80,-447.80,.00
21220,21220,20150730,"TCW, INC.","22 STANLEY ST","","NASHVILLE","TN","37210"," ","2551122","512773",20150702,20150801,20150730,33474,-5722.30,447.80,-447.80,.00
21220,21220,20150730,"TCW, INC.","22 STANLEY ST","","NASHVILLE","TN","37210"," ","2551122","512842",20150702,20150801,20150730,33474,-5722.30,497.25,-497.25,.00
21785,21785,20150730,"COPLAND INDUSTRIES INC","PO BOX 1208","","BURLINGTON","NC","27216-1208","sherrie@coplandfabrics.com","226-0272 - Pat","583785",20150702,20150801,20150730,33404,-16503.72,1230.00,-1230.00,.00
21785,21785,20150730,"COPLAND INDUSTRIES INC","PO BOX 1208","","BURLINGTON","NC","27216-1208","sherrie@coplandfabrics.com","226-0272 - Pat","583788",20150702,20150801,20150730,33404,-16503.72,15273.72,-15273.72,.00
22547,22547,20150730,"ROCK HILL SOUTH CAROLINA","PO BOX 63039","","CHARLOTTE","NC","28263-3039"," "," ","1922600 07-23-2015",20150723,20150730,20150730,33463,-6264.83,5323.71,-5323.71,.00
22547,22547,20150730,"ROCK HILL SOUTH CAROLINA","PO BOX 63039","","CHARLOTTE","NC","28263-3039"," "," ","21-JUL-15",20150721,20150731,20150730,33463,-6264.83,941.12,-941.12,.00
23546,23546,20150730,"EXPEDITORS INTL/N. CHARLESTON","PO BOX 62243","","N. CHARLESTON","SC","29419-2243"," ","5546909","E310494427",20150713,20150728,20150730,33412,-1718.38,187.00,-187.00,.00
23546,23546,20150730,"EXPEDITORS INTL/N. CHARLESTON","PO BOX 62243","","N. CHARLESTON","SC","29419-2243"," ","5546909","E310494428",20150713,20150728,20150730,33412,-1718.38,751.05,-751.05,.00
23546,23546,20150730,"EXPEDITORS INTL/N. CHARLESTON","PO BOX 62243","","N. CHARLESTON","SC","29419-2243"," ","5546909","E310494438",20150713,20150728,20150730,33412,-1718.38,155.00,-155.00,.00
23546,23546,20150730,"EXPEDITORS INTL/N. CHARLESTON","PO BOX 62243","","N. CHARLESTON","SC","29419-2243"," ","5546909","E310494440",20150713,20150728,20150730,33412,-1718.38,155.00,-155.00,.00
23546,23546,20150730,"EXPEDITORS INTL/N. CHARLESTON","PO BOX 62243","","N. CHARLESTON","SC","29419-2243"," ","5546909","E310494998",20150717,20150801,20150730,33412,-1718.38,158.22,-158.22,.00
23546,23546,20150730,"EXPEDITORS INTL/N. CHARLESTON","PO BOX 62243","","N. CHARLESTON","SC","29419-2243"," ","5546909","E310495014",20150717,20150801,20150730,33412,-1718.38,157.11,-157.11,.00
23546,23546,20150730,"EXPEDITORS INTL/N. CHARLESTON","PO BOX 62243","","N. CHARLESTON","SC","29419-2243"," ","5546909","E310495018",20150717,20150801,20150730,33412,-1718.38,155.00,-155.00,.00
23649,23649,20150730,"COURTNEY DAVIS INC","340 MAIN STREET","","FRANKLIN","TN","37064"," "," ","869 Q2 2015",20150714,20150730,20150730,33405,-126814.99,2562.22,-2562.22,.00
23649,23649,20150730,"COURTNEY DAVIS INC","340 MAIN STREET","","FRANKLIN","TN","37064"," "," ","883 Q2 2015",20150714,20150730,20150730,33405,-126814.99,889.01,-889.01,.00
23649,23649,20150730,"COURTNEY DAVIS INC","340 MAIN STREET","","FRANKLIN","TN","37064"," "," ","893 Q2 2015",20150714,20150730,20150730,33405,-126814.99,87801.12,-87801.12,.00
23649,23649,20150730,"COURTNEY DAVIS INC","340 MAIN STREET","","FRANKLIN","TN","37064"," "," ","916 Q2 2015",20150714,20150730,20150730,33405,-126814.99,4034.16,-4034.16,.00
23649,23649,20150730,"COURTNEY DAVIS INC","340 MAIN STREET","","FRANKLIN","TN","37064"," "," ","920 Q2 2015",20150714,20150730,20150730,33405,-126814.99,165.60,-165.60,.00
23649,23649,20150730,"COURTNEY DAVIS INC","340 MAIN STREET","","FRANKLIN","TN","37064"," "," ","950 Q2 2015",20150714,20150730,20150730,33405,-126814.99,66.26,-66.26,.00
23649,23649,20150730,"COURTNEY DAVIS INC","340 MAIN STREET","","FRANKLIN","TN","37064"," "," ","955 Q2 2015",20150714,20150730,20150730,33405,-126814.99,1663.80,-1663.80,.00
23649,23649,20150730,"COURTNEY DAVIS INC","340 MAIN STREET","","FRANKLIN","TN","37064"," "," ","958 Q2 2015",20150714,20150730,20150730,33405,-126814.99,1025.20,-1025.20,.00
23649,23649,20150730,"COURTNEY DAVIS INC","340 MAIN STREET","","FRANKLIN","TN","37064"," "," ","959 Q2 2015",20150730,20150730,20150730,33405,-126814.99,7.50,-7.50,.00
23649,23649,20150730,"COURTNEY DAVIS INC","340 MAIN STREET","","FRANKLIN","TN","37064"," "," ","969 Q2 2015",20150715,20150730,20150730,33405,-126814.99,1029.60,-1029.60,.00
23649,23649,20150730,"COURTNEY DAVIS INC","340 MAIN STREET","","FRANKLIN","TN","37064"," "," ","982 Q2 2015",20150714,20150730,20150730,33405,-126814.99,27570.52,-27570.52,.00
24438,24438,20150730,"EXPEDITORS INTL LOS ANGELES","5757 WEST CENTURY BLVD","STE 200","LOS ANGELES","CA","90045"," ","3436200","E075510471",20150721,20150805,20150730,33411,-823.50,246.50,-246.50,.00
24438,24438,20150730,"EXPEDITORS INTL LOS ANGELES","5757 WEST CENTURY BLVD","STE 200","LOS ANGELES","CA","90045"," ","3436200","E075510708",20150721,20150805,20150730,33411,-823.50,577.00,-577.00,.00
24585,24585,20150730,"FEDEX","PO BOX 371461","","PITTSBURGH","PA","15250-7461"," "," ","5-066-55902",20150616,20150701,20150730,33414,-1079.64,362.22,-362.22,.00
24585,24585,20150730,"FEDEX","PO BOX 371461","","PITTSBURGH","PA","15250-7461"," "," ","5-095-18054",20150714,20150729,20150730,33414,-1079.64,315.03,-315.03,.00
24585,24585,20150730,"FEDEX","PO BOX 371461","","PITTSBURGH","PA","15250-7461"," "," ","5-102-62822",20150721,20150805,20150730,33414,-1079.64,402.39,-402.39,.00
27647,27647,20150730,"CHESTER RENTAL UNIFORM","530 GREAT FALLS HIGHWAY","","CHESTER","SC","29706"," ","3778157","31945",20150716,20150716,20150730,33397,-55.46,27.73,-27.73,.00
27647,27647,20150730,"CHESTER RENTAL UNIFORM","530 GREAT FALLS HIGHWAY","","CHESTER","SC","29706"," ","3778157","32441",20150723,20150723,20150730,33397,-55.46,27.73,-27.73,.00
27732,27732,20150730,"KING BUSINESS PRINTING","1651 KATY LANE","","FORT MILL","SC","29708","joe@kingbusinessprinting.com","2507052","24077",20150630,20150730,20150730,33490,-436.80,436.80,-436.80,.00
27800,27800,20150730,"DIXIE REEL & BOX CO","P O BOX 177357","","IRVING","TX","75017-7357","acctpay@dixiereelbox.com","5883504","55588",20150701,20150731,20150730,33489,-3951.90,2600.38,-2600.38,.00
27800,27800,20150730,"DIXIE REEL & BOX CO","P O BOX 177357","","IRVING","TX","75017-7357","acctpay@dixiereelbox.com","5883504","55698",20150720,20150730,20150730,33489,-3951.90,463.30,-463.30,.00
27800,27800,20150730,"DIXIE REEL & BOX CO","P O BOX 177357","","IRVING","TX","75017-7357","acctpay@dixiereelbox.com","5883504","55718",20150722,20150801,20150730,33489,-3951.90,888.22,-888.22,.00
27961,27961,20150730,"T&A MATERIALS HANDLING INC","11041 DOWNS RD","","PINEVILLE","NC","28134"," ","5870867","20570",20150701,20150701,20150730,33492,-731.63,731.63,-731.63,.00
29812,29812,20150730,"BOOTH, GEORGE E"," "," "," "," "," "," "," ","06/12/15-07/22/15",20150728,20150728,20150730,33389,-1137.66,1137.66,-1137.66,.00
45517,45517,20150730,"EXPRESS SERVICES INC","P.O. Box 535434","","ATLANTA","GA","30353-5434"," "," ","16058488-4",20150722,20150801,20150730,33413,-400.60,400.60,-400.60,.00
75205,75205,20150730,"RUTH LEVISON DESIGN"," "," "," "," "," "," "," ","579 Q2 2015",20150714,20150730,20150730,33465,-2674.28,1483.16,-1483.16,.00
75205,75205,20150730,"RUTH LEVISON DESIGN"," "," "," "," "," "," "," ","877 Q2 2015",20150714,20150730,20150730,33465,-2674.28,1157.52,-1157.52,.00
75205,75205,20150730,"RUTH LEVISON DESIGN"," "," "," "," "," "," "," ","971 Q2 2015",20150714,20150730,20150730,33465,-2674.28,33.60,-33.60,.00
107439,107439,20150730,"FW MEDIA/LOVE OF QUILTING","DEPT. 781599","P.O. BOX 78000","DETROIT","MI","48278-1599"," "," ","288490",20150630,20150730,20150730,33427,-12100.00,12100.00,-12100.00,.00
109922,109922,20150730,"TRUE TIMBER OUTDOORS INC","150 ACCURATE WAY","","INMAN","SC","29349","sharon@truetimber.com"," ","957 Q2 2015",20150714,20150730,20150730,33482,-6464.19,6464.19,-6464.19,.00
115494,115494,20150730,"CATHY HECK STUDIO","3403 MOUNTAIN TOP CIRCLE","","AUSTIN","TX","78731"," "," ","806 Q2 2015",20150714,20150730,20150730,33395,-533.70,533.70,-533.70,.00
116932,116932,20150730,"SOUTHEASTERN FREIGHT LINES, INC. (10)","P.O. BOX 100104","","COLUMBIA","SC","29202"," "," ","275398013",20150715,20150730,20150730,33469,-438.04,148.64,-148.64,.00
116932,116932,20150730,"SOUTHEASTERN FREIGHT LINES, INC. (10)","P.O. BOX 100104","","COLUMBIA","SC","29202"," "," ","283000431",20150519,20150603,20150730,33469,-438.04,67.93,-67.93,.00
116932,116932,20150730,"SOUTHEASTERN FREIGHT LINES, INC. (10)","P.O. BOX 100104","","COLUMBIA","SC","29202"," "," ","290475309",20150708,20150723,20150730,33469,-438.04,95.01,-95.01,.00
116932,116932,20150730,"SOUTHEASTERN FREIGHT LINES, INC. (10)","P.O. BOX 100104","","COLUMBIA","SC","29202"," "," ","73140524",20150716,20150805,20150730,33469,-438.04,126.46,-126.46,.00
117444,117444,20150730,"BEVERLY KNITS","PO BOX 3736","","GASTONIA","NC","28054","rhale@beverlyknits.com","861-1536","76411",20150629,20150729,20150730,33385,-32813.37,1363.60,-1363.60,.00
117444,117444,20150730,"BEVERLY KNITS","PO BOX 3736","","GASTONIA","NC","28054","rhale@beverlyknits.com","861-1536","76418",20150630,20150730,20150730,33385,-32813.37,3979.80,-3979.80,.00
117444,117444,20150730,"BEVERLY KNITS","PO BOX 3736","","GASTONIA","NC","28054","rhale@beverlyknits.com","861-1536","76419",20150630,20150731,20150730,33385,-32813.37,341.00,-341.00,.00
117444,117444,20150730,"BEVERLY KNITS","PO BOX 3736","","GASTONIA","NC","28054","rhale@beverlyknits.com","861-1536","76422",20150629,20150729,20150730,33385,-32813.37,21402.17,-21402.17,.00
117444,117444,20150730,"BEVERLY KNITS","PO BOX 3736","","GASTONIA","NC","28054","rhale@beverlyknits.com","861-1536","76432",20150706,20150801,20150730,33385,-32813.37,1147.00,-1147.00,.00
117444,117444,20150730,"BEVERLY KNITS","PO BOX 3736","","GASTONIA","NC","28054","rhale@beverlyknits.com","861-1536","76434",20150706,20150805,20150730,33385,-32813.37,4579.80,-4579.80,.00
128401,14463,20150730,"INTERNATIONAL TEXTILE GROUP","INTERNATIONAL TEXTILE CROP, INC.","P.O. BOX 741340","ATLANTA","GA","30374-1340","cindy.taylor@carlislefinishing.com","4274501","240-44810",20150630,20150730,20150730,33431,-19298.02,19298.02,-19298.02,.00
130258,130258,20150730,"WILD WINGS INC","2101 SOUTH HWY 61","","LAKE CITY","MN","55041"," "," ","829 Q2 2015",20150715,20150730,20150730,33486,-5713.87,5713.87,-5713.87,.00
131726,131726,20150730,"HAAS OUTDOORS INC","PO DRAWER 757","","WEST POINT","MS","39773"," "," ","812-6-2015 ROYALTY",20150709,20150730,20150730,33430,-910.81,910.81,-910.81,.00
137853,137853,20150730,"FIBER MOSAICS INC","LESLIE BECK PRESIDENT","1909 S WILLIAMS STREET","KENNEWICK","WA","99338"," "," ","839 Q2 2015",20150714,20150730,20150730,33425,-731.05,731.05,-731.05,.00
143486,143486,20150730,"PHILLIPS STAFFING C/O AR FUNDING INC","PO BOX 16253","","Greenville","SC","29606"," ","285-7925","62507-030",20150727,20150727,20150730,33456,-1757.12,1757.12,-1757.12,.00
145702,22661,20150730,"MILBERG FACTORS INC","208 E 1ST AVE","","EASLEY","SC","29640","enees@alicemillsinc.com"," ","44028-5",20150630,20150730,20150730,33445,-23085.09,23085.09,-23085.09,.00
150083,150083,20150730,"UNIVERSAL PACKAGING","PO BOX 297","","REIDVILLE","SC","29375","Djolley@univpkg.com","877-2555","146299",20150701,20150731,20150730,33494,-18482.25,1300.30,-1300.30,.00
150083,150083,20150730,"UNIVERSAL PACKAGING","PO BOX 297","","REIDVILLE","SC","29375","Djolley@univpkg.com","877-2555","146300",20150701,20150731,20150730,33494,-18482.25,10314.59,-10314.59,.00
150083,150083,20150730,"UNIVERSAL PACKAGING","PO BOX 297","","REIDVILLE","SC","29375","Djolley@univpkg.com","877-2555","146459",20150701,20150731,20150730,33494,-18482.25,1870.71,-1870.71,.00
150083,150083,20150730,"UNIVERSAL PACKAGING","PO BOX 297","","REIDVILLE","SC","29375","Djolley@univpkg.com","877-2555","146561",20150701,20150731,20150730,33494,-18482.25,4996.65,-4996.65,.00
151047,151047,20150730,"UPS","PO BOX 7247 0244","","PHILADELPHIA","PA","19170-0001"," "," ","0000227962295",20150718,20150730,20150730,33483,-22.60,22.60,-22.60,.00
154673,154673,20150730,"WORKMAN'S PALLET SERVICE, LLC","2010 OGDEN RD.","","ROCK HILL","SC","29730"," "," ","19849",20150723,20150723,20150730,33495,-4200.00,2100.00,-2100.00,.00
154673,154673,20150730,"WORKMAN'S PALLET SERVICE, LLC","2010 OGDEN RD.","","ROCK HILL","SC","29730"," "," ","19863",20150727,20150727,20150730,33495,-4200.00,2100.00,-2100.00,.00
500025,500025,20150730,"BUREAU VERITAS CONSUMER","14624 COLLECTIONS CENTRE","","CHICAGO","IL","60693-1337"," "," ","4384330",20150630,20150730,20150730,33392,-86.25,86.25,-86.25,.00
500041,500041,20150730,"GLOBAL IT SERVICES","5400 LAUREL SPRINGS PARKWAY","SUITE 1202","SUWANEE","GA","30024"," "," ","SJ2971",20150727,20150727,20150730,33429,-12500.00,12500.00,-12500.00,.00
500108,500108,20150730,"SOUTHERN OFFICE SUPPLY","P.O. BOX  411226","","CHARLOTTE","NC","28241","service@sospowerbuy.com"," ","280323",20150629,20150729,20150730,33470,-587.79,90.07,-90.07,.00
500108,500108,20150730,"SOUTHERN OFFICE SUPPLY","P.O. BOX  411226","","CHARLOTTE","NC","28241","service@sospowerbuy.com"," ","280487",20150701,20150731,20150730,33470,-587.79,94.66,-94.66,.00
500108,500108,20150730,"SOUTHERN OFFICE SUPPLY","P.O. BOX  411226","","CHARLOTTE","NC","28241","service@sospowerbuy.com"," ","280562",20150706,20150805,20150730,33470,-587.79,297.00,-297.00,.00
500108,500108,20150730,"SOUTHERN OFFICE SUPPLY","P.O. BOX  411226","","CHARLOTTE","NC","28241","service@sospowerbuy.com"," ","280563",20150706,20150805,20150730,33470,-587.79,106.06,-106.06,.00
500111,500111,20150730,"THE OLD COTTON FACTORY","ATTN BOB PERRIN","PO BOX 11590","ROCK HILL","SC","29731"," "," ","08012015",20150801,20150801,20150730,33476,-25342.64,25342.64,-25342.64,.00
505273,505273,20150730,"THOM, TERI"," "," "," "," "," "," "," ","RELOCATION7.15",20150726,20150726,20150730,33477,-4133.27,2000.00,-2000.00,.00
505273,505273,20150730,"THOM, TERI"," "," "," "," "," "," "," ","07/13/15-07/19/15",20150728,20150728,20150730,33477,-4133.27,1523.11,-1523.11,.00
505273,505273,20150730,"THOM, TERI"," "," "," "," "," "," "," ","07/20/15-7/22/15",20150728,20150728,20150730,33477,-4133.27,610.16,-610.16,.00
506884,506884,20150730,"CONSUMER TESTING LABORATIORIES,INC.","BOX 952766","","ATLANTA","GA","31192-2766"," "," ","0000151308",20150701,20150731,20150730,33403,-4002.05,4002.05,-4002.05,.00
508066,508066,20150730,"TOTALFUNDS BY HASLER","PO BOX 30193","","TAMPA","FL","33630-3193"," "," ","7900011002179466 7-1-2015",20150701,20150729,20150730,33480,-1003.00,1003.00,-1003.00,.00
508759,508759,20150730,"LOGISOURCE","DBA SOURCE TRANSPORT","PO BOX 10200","MATTHEWS","NC","28106"," "," ","216090",20150714,20150714,20150730,33441,-9170.00,575.00,-575.00,.00
508759,508759,20150730,"LOGISOURCE","DBA SOURCE TRANSPORT","PO BOX 10200","MATTHEWS","NC","28106"," "," ","216128",20150714,20150721,20150730,33441,-9170.00,2800.00,-2800.00,.00
508759,508759,20150730,"LOGISOURCE","DBA SOURCE TRANSPORT","PO BOX 10200","MATTHEWS","NC","28106"," "," ","216148",20150714,20150721,20150730,33441,-9170.00,425.00,-425.00,.00
508759,508759,20150730,"LOGISOURCE","DBA SOURCE TRANSPORT","PO BOX 10200","MATTHEWS","NC","28106"," "," ","216252",20150714,20150721,20150730,33441,-9170.00,875.00,-875.00,.00
508759,508759,20150730,"LOGISOURCE","DBA SOURCE TRANSPORT","PO BOX 10200","MATTHEWS","NC","28106"," "," ","216257",20150713,20150720,20150730,33441,-9170.00,425.00,-425.00,.00
508759,508759,20150730,"LOGISOURCE","DBA SOURCE TRANSPORT","PO BOX 10200","MATTHEWS","NC","28106"," "," ","216291",20150720,20150727,20150730,33441,-9170.00,2795.00,-2795.00,.00
508759,508759,20150730,"LOGISOURCE","DBA SOURCE TRANSPORT","PO BOX 10200","MATTHEWS","NC","28106"," "," ","216327",20150720,20150727,20150730,33441,-9170.00,425.00,-425.00,.00
508759,508759,20150730,"LOGISOURCE","DBA SOURCE TRANSPORT","PO BOX 10200","MATTHEWS","NC","28106"," "," ","216340",20150720,20150727,20150730,33441,-9170.00,425.00,-425.00,.00
508759,508759,20150730,"LOGISOURCE","DBA SOURCE TRANSPORT","PO BOX 10200","MATTHEWS","NC","28106"," "," ","216479",20150720,20150727,20150730,33441,-9170.00,425.00,-425.00,.00
524140,524140,20150730,"PATTERSON, LEN","470 ST MICHAELS WAY","","FORT MILL","SC","29708"," "," ","7/7/15-7/21/15",20150728,20150728,20150730,33454,-1345.67,1345.67,-1345.67,.00
527145,527145,20150730,"ALBANESE, MARY"," "," "," "," "," "," "," ","07/21/15-7/22/15",20150728,20150728,20150730,33381,-289.80,289.80,-289.80,.00
527472,527472,20150730,"KATE McCROSTIE DESIGN WORKS","117 SPRING CREEK LANE","","WILMINGTON","NC","28411"," "," ","843 Q2 2015",20150714,20150730,20150730,33436,-199.26,199.26,-199.26,.00
543293,543293,20150730,"BLUE CROSS BLUE SHIELD OF SOUTH CAROLINA","I-20 AT ALPINE ROAD","","COLUMBIA","SC","29219"," "," ","07/18/2015-07/24/2015",20150725,20150731,20150730,7312015,-14304.42,14304.42,-14304.42,.00
548194,548194,20150730,"FRISCH, SCOTT"," "," "," "," "," "," "," ","06/25/15-7/26/15",20150728,20150728,20150730,33426,-1904.29,1904.29,-1904.29,.00
567741,567741,20150730,"LILLY MANAGEMENT GROUP LLC","2580 FOXFIELD ROAD","SUITE # 103","ST. CHARLES","IL","60174"," "," ","910S",20150727,20150727,20150730,33438,-3534.08,3534.08,-3534.08,.00
578373,578373,20150730,"MICRADEX SYSTEMS","P.O. BOX 602967","","CHARLOTTE","NC","28260`"," "," ","7135",20150701,20150731,20150730,33444,-3276.25,3276.25,-3276.25,.00
585607,585607,20150730,"MARS RETAIL GROUP","400 VALLEY ROAD","","MT. ARLINGTON","NJ","07856"," "," ","937 Q2 2015 MKTG PMT",20150722,20150730,20150730,33443,-142.23,142.23,-142.23,.00
593900,593900,20150730,"DAN MORRIS DESIGN, INC.","2752 SANDPIPER ROAD","","VIRGINIA BEACH","VA","23456"," "," ","933 Q2 2015",20150714,20150730,20150730,33406,-952.58,952.58,-952.58,.00
595616,595616,20150730,"CITY ELECTRIC SUPPLY","PO BOX 71446","","NORTH CHARLESTON","SC","29415"," "," ","RCH/129321",20150629,20150729,20150730,33488,-116.59,116.59,-116.59,.00
596455,596455,20150730,"INTERSTATE FLEET SERVICES","ITR, INC","PO BOX 384","ROCK HILL","SC","29731"," "," ","8494",20150630,20150730,20150730,33432,-1585.06,1585.06,-1585.06,.00
609216,609216,20150730,"LANGFORD, ROBERT"," "," "," "," "," "," "," ","938 Q2 2015",20150714,20150730,20150730,33437,-344.74,344.74,-344.74,.00
609818,609818,20150730,"PRINTSOUTH PRINTING, INC","1114 SILSTAR ROAD","","WEST COLUMBIA","SC","29170"," "," ","65369",20150630,20150730,20150730,33458,-1935.00,1935.00,-1935.00,.00
614178,614178,20150730,"REEVES, CAROLINE","671 ANNAFRELL ST","","ROCK HILL","SC","29730","caroline.reeves@springscreative.com"," ","6/14/2015-6/22/2015",20150728,20150728,20150730,33461,-369.69,369.69,-369.69,.00
619079,619079,20150730,"GLOBAL IT HOLDINGS, LLC","5400 LAUREL SPRINGS PARKWAY, SUITE 1202","","SUWANEE","GA","30024"," "," ","SC030154",20150727,20150727,20150730,33428,-5814.00,5814.00,-5814.00,.00
624277,624277,20150730,"ROSENFELD EINSTEIN -125 PLAN","PO BOX 5145","","GREENVILLE","SC","29606"," "," ","07292015",20150729,20150729,20150730,7312015,-235.64,235.64,-235.64,.00
624610,624610,20150730,"ANDREWS, DONOVAN","104 JERSEY STREET","","ADDISON","VT","05491"," "," ","SCPG071",20150728,20150731,20150730,33382,-1400.00,1400.00,-1400.00,.00
625636,625636,20150730,"YARBROUGH, BETH","108 Labans Ln","","Lincolnton","NC","28092"," "," ","956 Q2 2015",20150714,20150730,20150730,33487,-24.97,24.97,-24.97,.00
625748,625748,20150730,"NEXT DAY ART, INC.","424 FORE STREET, 2ND FLOOR","","PORTLAND","ME","04101"," "," ","951 Q2 2015",20150714,20150730,20150730,33450,-1976.62,1976.62,-1976.62,.00
634467,634467,20150730,"MAERSK LINE","9300 ARROWPOINT BLVD","","CHARLOTTE","NC","28273-8136"," "," ","5249950244",20150704,20150729,20150730,33442,-14738.00,375.00,-375.00,.00
634467,634467,20150730,"MAERSK LINE","9300 ARROWPOINT BLVD","","CHARLOTTE","NC","28273-8136"," "," ","5249951085",20150704,20150729,20150730,33442,-14738.00,2490.00,-2490.00,.00
634467,634467,20150730,"MAERSK LINE","9300 ARROWPOINT BLVD","","CHARLOTTE","NC","28273-8136"," "," ","5249951333",20150704,20150729,20150730,33442,-14738.00,1412.00,-1412.00,.00
634467,634467,20150730,"MAERSK LINE","9300 ARROWPOINT BLVD","","CHARLOTTE","NC","28273-8136"," "," ","5249951384",20150704,20150729,20150730,33442,-14738.00,2590.00,-2590.00,.00
